fish_id,condition_id,trial_number,Fish median response / baseline,Contributing rows
20230227_03,control,53,0.953278495779289,1
20230227_03,control,54,1.0157234061594724,1
20230227_03,control,55,0.982671869129952,1
20230227_03,control,56,1.0326399351888913,1
20230227_03,control,57,1.0190976440697646,1
20230227_03,control,58,0.9829178567796295,1
20230227_03,control,59,1.0188990976450178,1
20230227_03,control,60,0.9729072797566888,1
20230227_03,control,61,0.9998578609525848,1
20230227_03,control,62,0.9795460725631783,1
20230227_03,control,63,0.9907406904738778,1
20230227_03,control,64,1.0394402682544426,1
20230227_03,control,65,1.0403896403440203,1
20230227_03,control,66,1.0806375670756883,1
20230227_03,control,67,0.9744680249750348,1
20230227_03,control,68,0.9655124267490618,1
20230227_03,control,69,1.024593792309699,1
20230227_03,control,70,1.0183128406300326,1
20230227_03,control,71,1.007776693167671,1
20230227_03,control,72,0.9944907107170723,1
20230227_03,control,73,1.0602020965304653,1
20230227_03,control,74,1.019143161326053,1
20230227_03,control,75,1.0120994053630508,1
20230227_03,control,76,1.0374669354906825,1
20230227_03,control,77,1.006916301204824,1
20230227_03,control,78,1.0421738985062876,1
20230227_03,control,79,1.0336631154243072,1
20230227_03,control,80,0.9994854655895213,1
20230227_03,control,81,1.0381268396134267,1
20230227_03,control,82,1.0188816056070387,1
20230227_03,control,83,1.0014800325633466,1
20230227_03,control,84,0.9960573434769655,1
20230227_03,control,85,1.043806977229192,1
20230227_03,control,86,1.0117071343449904,1
20230227_03,control,87,1.002281676047768,1
20230227_03,control,88,1.0090018118440693,1
20230227_03,control,89,1.0148101181978415,1
20230227_03,control,90,1.0219935140668865,1
20230227_03,control,91,1.0191082206801678,1
20230227_03,control,92,1.0356548125714338,1
20230227_03,control,93,1.0274624699865849,1
20230227_03,control,94,1.0353078592733294,1
20230227_06,control,5,0.9716804048575562,1
20230227_06,control,6,0.9891015446368,1
20230227_06,control,7,0.9880233812376746,1
20230227_06,control,8,1.0196988534200329,1
20230227_06,control,9,1.0437462520644054,1
20230227_06,control,10,0.9272312440135102,1
20230227_06,control,11,1.0350540029542914,1
20230227_06,control,12,1.033309510107312,1
20230227_06,control,13,0.9752356027837855,1
20230227_06,control,14,1.03115256684006,1
20230227_06,control,15,1.015139663761401,1
20230227_06,control,16,0.9743172697000678,1
20230227_06,control,17,1.337162502675551,1
20230227_06,control,18,0.9293105322470633,1
20230227_06,control,19,0.9906735755496192,1
20230227_06,control,20,1.0063321109080352,1
20230227_06,control,21,0.7666136757697358,1
20230227_06,control,22,0.9186402010105577,1
20230227_06,control,23,1.059678109476432,1
20230227_06,control,24,0.9949082244260301,1
20230227_06,control,25,1.0179990232396012,1
20230227_06,control,26,1.0228123436563634,1
20230227_06,control,27,0.873176875359977,1
20230227_06,control,28,0.9955159441704945,1
20230227_06,control,29,1.0030868572993021,1
20230227_06,control,30,1.215141002249345,1
20230227_06,control,31,0.9022979788456872,1
20230227_06,control,32,0.9555421978180316,1
20230227_06,control,33,0.9393582848926494,1
20230227_06,control,34,1.0206644720345437,1
20230227_06,control,35,0.9428714431745785,1
20230227_06,control,36,1.0956945592035752,1
20230227_06,control,37,0.9876958306212849,1
20230227_06,control,38,1.0031820308742958,1
20230227_06,control,39,0.9861846369455938,1
20230227_06,control,40,0.9909666533814234,1
20230227_06,control,41,0.8823011246807673,1
20230227_06,control,42,0.9784374854466064,1
20230227_06,control,43,1.017307137609129,1
20230227_06,control,44,0.8837985685817057,1
20230227_06,control,45,0.9396641363688357,1
20230227_06,control,46,0.9959654705317701,1
20230227_06,control,47,1.0985527874288734,1
20230227_06,control,48,1.0086883561038011,1
20230227_06,control,49,0.9927007595660257,1
20230227_06,control,50,1.0046139174167443,1
20230227_06,control,51,0.7344852286414971,1
20230227_06,control,52,1.0805688091664856,1
20230227_06,control,53,0.9930602529140238,1
20230227_06,control,54,0.9630540811305379,1
20230227_06,control,55,1.0606139107639996,1
20230227_06,control,56,1.0061817331131087,1
20230227_06,control,57,0.9294705606452709,1
20230227_06,control,58,0.9289931864867819,1
20230227_06,control,59,1.0850515780521564,1
20230227_06,control,60,0.9720912407184614,1
20230227_06,control,61,0.9737102563199642,1
20230227_06,control,62,1.0052098715090465,1
20230227_06,control,63,1.0833223927191364,1
20230227_06,control,64,0.9927096835509944,1
20230227_06,control,65,0.9698311316139842,1
20230227_06,control,66,1.0345815003022019,1
20230227_06,control,67,0.9887677350271663,1
20230227_06,control,68,1.1256341615213143,1
20230227_06,control,69,1.0084916770169539,1
20230227_06,control,70,0.9776152465631052,1
20230227_06,control,71,1.0776997738342522,1
20230227_06,control,72,0.801177238125857,1
20230227_06,control,73,0.9508228899160934,1
20230227_06,control,74,1.0310531971374568,1
